step,total_energy,temperature,time_fs
0,0.211329,300.000000,0.000000
5,0.196277,300.043019,0.100000
10,0.202235,300.170231,0.200000
15,0.229306,300.211987,0.300000
20,0.277613,300.348717,0.400000
25,0.347275,300.484121,0.500000
30,0.438437,300.687849,0.600000
35,0.551211,300.908131,0.700000
40,0.685758,301.260126,0.800000
45,0.842189,301.621694,0.900000
50,1.020705,301.925156,1.000000
55,1.221370,302.361248,1.100000
60,1.444462,302.776055,1.200000
65,1.690137,303.446931,1.300000
70,1.958620,304.095360,1.400000
75,2.250133,304.671966,1.500000
80,2.564856,305.360115,1.600000
85,2.903077,306.010087,1.700000
90,3.265060,306.909685,1.800000
95,3.651083,307.955739,1.900000
100,4.061425,308.876810,2.000000
105,4.496424,309.996250,2.100000
110,4.956283,310.973918,2.200000
115,5.441130,312.066359,2.300000
120,5.951369,313.211275,2.400000
125,6.487377,314.354208,2.500000
130,7.049397,315.651585,2.600000
135,7.637766,316.928656,2.700000
140,8.252880,318.380807,2.800000
145,8.895076,319.805738,2.900000
150,9.564822,321.560953,3.000000
155,10.262492,323.122542,3.100000
160,10.988417,324.665544,3.200000
165,11.743029,326.395400,3.300000
170,12.527220,328.410085,3.400000
175,13.341187,330.090783,3.500000
180,14.185168,331.745359,3.600000
185,15.059571,333.831821,3.700000
190,15.964873,335.675080,3.800000
195,16.901178,337.575647,3.900000
200,17.869292,339.688084,4.000000
205,18.869665,341.772035,4.100000
210,19.902768,343.949687,4.200000
215,20.969539,346.284299,4.300000
220,22.070023,348.433626,4.400000
225,23.204806,350.792240,4.500000
230,24.374330,353.190933,4.600000
235,25.579380,355.697346,4.700000
240,26.820432,358.330015,4.800000
245,28.098124,361.006982,4.900000
250,29.412884,363.701252,5.000000
